Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
EUHA,23.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,24.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,25.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,28.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,29.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,30.12.2020,"3,00",,,"3,00","0,00",,,
EUHA,04.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,05.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,08.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,11.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,12.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,13.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,14.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,15.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,18.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,20.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,21.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,22.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,25.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,26.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,27.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,28.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,29.01.2021,"3,00",,,"3,00","0,00",,,
EUHA,01.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,02.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,03.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,04.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,05.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,08.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,09.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,10.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,11.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,12.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,15.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,16.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,17.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,18.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,19.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,22.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,23.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,24.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,25.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,26.02.2021,"3,00",,,"3,00","0,00",,,
EUHA,01.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,02.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,03.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,04.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,05.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,08.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,09.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,10.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,11.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,12.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,15.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,16.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,17.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,18.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,19.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,22.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,23.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,24.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,25.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,26.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,29.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,30.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,31.03.2021,"3,00",,,"3,00","0,00",,,
EUHA,01.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,02.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,05.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,06.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,07.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,08.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,09.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,12.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,13.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,14.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,15.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,16.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,19.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,20.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,21.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,22.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,23.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,26.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,27.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,28.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,29.04.2021,"3,00",,,"3,00","0,00",,,
EUHA,04.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,05.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,06.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,07.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,10.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,11.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,12.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,14.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,17.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,18.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,19.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,20.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,21.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,25.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,26.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,27.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,28.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,31.05.2021,"3,00",,,"3,00","0,00",,,
EUHA,01.06.2021,"3,00",,,"3,00","0,00",,,
EUHA,02.06.2021,"3,00",,,"3,00","0,00",,,
EUHA,03.06.2021,"3,00",,,"3,00","0,00",,,
EUHA,04.06.2021,"3,00",,,"3,00","0,00",,,
EUHA,07.06.2021,"30,00","30,00","30,00","30,00","900,00",40.0,1.200.000,1.200.000
EUHA,08.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,10.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,11.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,14.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,17.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,21.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,24.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,25.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,28.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.06.2021,"30,00",,,"30,00","0,00",,,
EUHA,01.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,02.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,05.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,06.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,07.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,08.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,12.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,13.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,14.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,19.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,20.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,21.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,26.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,27.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,28.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.07.2021,"30,00",,,"30,00","0,00",,,
EUHA,03.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,04.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,05.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,06.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,10.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,11.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,12.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,13.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,17.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,18.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,19.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,20.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,24.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,25.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,26.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,27.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,31.08.2021,"30,00",,,"30,00","0,00",,,
EUHA,01.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,02.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,03.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,06.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,07.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,10.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,13.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,14.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,17.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,20.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,21.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,24.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,27.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,28.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.09.2021,"30,00",,,"30,00","0,00",,,
EUHA,01.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,04.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,05.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,06.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,07.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,08.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,12.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,13.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,14.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,18.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,19.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,20.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,21.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,25.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,26.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,27.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,28.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.10.2021,"30,00",,,"30,00","0,00",,,
EUHA,01.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,02.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,03.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,04.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,05.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,08.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,10.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,11.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,12.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,17.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,18.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,19.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,24.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,25.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,26.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.11.2021,"30,00",,,"30,00","0,00",,,
EUHA,01.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,02.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,03.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,06.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,07.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,09.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,10.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,13.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,14.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,15.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,16.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,17.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,20.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,21.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,22.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,23.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,24.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,27.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,28.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,29.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,30.12.2021,"30,00",,,"30,00","0,00",,,
EUHA,03.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,04.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,05.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,10.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,11.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,12.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,13.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,14.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,17.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,18.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,20.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,21.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,24.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,25.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,26.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,27.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,28.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,31.01.2022,"30,00",,,"30,00","0,00",,,
EUHA,01.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,02.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,03.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,04.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,07.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,08.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,09.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,10.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,11.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,14.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,15.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,16.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,17.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,18.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,21.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,22.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,23.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,24.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,25.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,28.02.2022,"30,00",,,"30,00","0,00",,,
EUHA,01.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,02.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,03.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,04.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,07.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,08.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,09.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,10.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,11.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,14.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,15.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,16.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,17.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,18.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,21.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,22.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,23.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,24.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,25.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,28.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,29.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,30.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,31.03.2022,"30,00",,,"30,00","0,00",,,
EUHA,01.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,04.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,05.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,06.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,07.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,08.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,11.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,12.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,13.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,14.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,15.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,18.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,19.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,20.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,21.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,26.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,27.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,28.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,29.04.2022,"30,00",,,"30,00","0,00",,,
EUHA,03.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,04.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,05.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,06.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,09.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,10.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,11.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,12.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,13.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,16.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,17.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,18.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,19.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,20.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,23.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,25.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,26.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,27.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,30.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,31.05.2022,"30,00",,,"30,00","0,00",,,
EUHA,01.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,02.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,03.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,06.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,07.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,08.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,09.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,13.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,14.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,15.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,16.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,17.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,20.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,21.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,22.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,23.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,24.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,27.06.2022,"30,00",,,"30,00","0,00",,,
EUHA,28.06.2022,"15,00","15,00","15,00","15,00","-50,00",14.0,210.000,210.000
EUHA,29.06.2022,"15,00",,,"15,00","0,00",,,
EUHA,30.06.2022,"15,00",,,"15,00","0,00",,,
EUHA,01.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,04.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,05.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,06.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,07.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,08.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,11.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,12.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,13.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,14.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,15.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,18.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,19.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,20.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,21.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,22.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,25.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,26.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,27.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,28.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,29.07.2022,"15,00",,,"15,00","0,00",,,
EUHA,01.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,03.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,04.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,05.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,08.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,09.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,10.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,11.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,12.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,15.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,16.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,17.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,18.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,19.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,22.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,23.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,24.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,25.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,26.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,29.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,30.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,31.08.2022,"15,00",,,"15,00","0,00",,,
EUHA,01.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,02.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,05.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,06.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,07.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,09.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,12.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,13.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,14.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,15.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,16.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,19.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,20.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,21.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,22.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,23.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,26.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,27.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,28.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,29.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,30.09.2022,"15,00",,,"15,00","0,00",,,
EUHA,03.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,04.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,05.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,06.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,07.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,10.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,12.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,13.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,14.10.2022,"15,00",,,"15,00","0,00",,,
EUHA,17.10.2022,"15,00",,,"15,00","0,00",,,
