Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZPOG,26.12.2017,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.12.2017,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.12.2017,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.01.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.02.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.03.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.04.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.05.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.06.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.07.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.08.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.09.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.10.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.11.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.12.2018,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.01.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.02.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.03.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.04.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,14.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,22.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,23.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,29.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,30.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,31.05.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,06.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,07.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,13.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,20.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,21.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,24.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,25.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,26.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,27.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,28.06.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,01.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,02.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,03.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,04.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,05.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,08.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,09.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,10.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,11.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,12.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,15.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,16.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,17.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,18.07.2019,"2.000,00",,,"2.000,00","0,00",,,
ZPOG,19.07.2019,"2.000,00",,,"2.000,00","0,00",,,
